date,level,value_1,value_2
02/10/2023 13:24:47,logs_p,Square,VIOLET
02/10/2023 13:24:47,logs_p,Triangle,GREEN
02/10/2023 13:24:47,logs_p,Circle,YELLOW
02/10/2023 13:24:47,logs_p,Square,RED
02/10/2023 13:24:47,logs_p,Rectangle,BLUE
02/10/2023 13:28:30,logs_p,Square,VIOLET
02/10/2023 13:28:30,logs_p,Triangle,GREEN
02/10/2023 13:28:30,logs_p,Circle,YELLOW
02/10/2023 13:28:30,logs_p,Square,RED
02/10/2023 13:28:30,logs_p,Rectangle,BLUE
02/10/2023 15:37:35,logs_p,Square,VIOLET
02/10/2023 15:37:35,logs_p,Triangle,GREEN
02/10/2023 15:37:35,logs_p,Circle,YELLOW
02/10/2023 15:37:35,logs_p,Square,RED
02/10/2023 15:37:35,logs_p,Rectangle,BLUE
02/10/2023 16:10:48,logs_p,Square,VIOLET
02/10/2023 16:10:48,logs_p,Triangle,GREEN
02/10/2023 16:10:48,logs_p,Circle,YELLOW
02/10/2023 16:10:48,logs_p,Square,RED
02/10/2023 16:10:48,logs_p,Rectangle,BLUE
05/10/2023 11:00:19,logs_p,Square,VIOLET
05/10/2023 11:00:19,logs_p,Triangle,GREEN
05/10/2023 11:00:19,logs_p,Circle,YELLOW
05/10/2023 11:00:19,logs_p,Square,RED
05/10/2023 11:00:19,logs_p,Rectangle,BLUE
21/10/2023 15:10:27,logs_p,Square,VIOLET
21/10/2023 15:10:27,logs_p,Triangle,GREEN
21/10/2023 15:10:27,logs_p,Circle,YELLOW
21/10/2023 15:10:27,logs_p,Square,RED
21/10/2023 15:10:27,logs_p,Rectangle,BLUE
